value,count,m2,km2,Seca,Fire,Year
0,1008918,908026200,908.0261999999999,Sem Seca,Risco de incêndio acima da média,2005
0,1170361,1053324900,1053.3248999999998,Sem Seca,Risco de incêndio acima da média,2001
0,1301591,1171431900,1171.4319,Sem Seca,Risco de incêndio acima da média,2004
0,1305274,1174746600,1174.7466,Sem Seca,Risco de incêndio acima da média,2007
0,1305905,1175314500,1175.3145,Sem Seca,Risco de incêndio acima da média,2003
0,1328261,1195434900,1195.4349,Sem Seca,Risco de incêndio acima da média,2008
0,1345773,1211195700,1211.1957,Sem Seca,Risco de incêndio acima da média,2010
0,1442779,1298501100,1298.5011,Sem Seca,Risco de incêndio acima da média,2006
0,1509885,1358896500,1358.8964999999998,Sem Seca,Risco de incêndio acima da média,2002
0,1529672,1376704800,1376.7048,Sem Seca,Risco de incêndio acima da média,2015
0,1556166,1400549400,1400.5493999999999,Sem Seca,Risco de incêndio acima da média,2017
0,1615342,1453807800,1453.8078,Sem Seca,Risco de incêndio acima da média,2012
0,1682054,1513848600,1513.8486,Sem Seca,Risco de incêndio acima da média,2011
0,1709738,1538764200,1538.7641999999998,Sem Seca,Risco de incêndio acima da média,2014
0,1713899,1542509100,1542.5091,Sem Seca,Risco de incêndio acima da média,2016
0,1751033,1575929700,1575.9297,Sem Seca,Risco de incêndio acima da média,2018
0,1752605,1577344500,1577.3445,Sem Seca,Risco de incêndio acima da média,2009
0,1756498,1580848200,1580.8482,Sem Seca,Risco de incêndio acima da média,2020
0,1767625,1590862500,1590.8625,Sem Seca,Risco de incêndio acima da média,2013
0,1769288,1592359200,1592.3591999999999,Sem Seca,Risco de incêndio acima da média,2021
0,1776599,1598939100,1598.9390999999998,Sem Seca,Risco de incêndio acima da média,2019
1,1540,1386000,1.386,Seca Leve,Risco de incêndio alto,2019
1,7371,6633900,6.6339,Seca Leve,Risco de incêndio alto,2021
1,10321,9288900,9.2889,Seca Leve,Risco de incêndio alto,2013
1,19456,17510400,17.5104,Seca Leve,Risco de incêndio alto,2020
1,24518,22066200,22.0662,Seca Leve,Risco de incêndio alto,2009
1,24820,22338000,22.337999999999997,Seca Leve,Risco de incêndio alto,2018
1,58200,52380000,52.379999999999995,Seca Leve,Risco de incêndio alto,2016
1,66561,59904900,59.9049,Seca Leve,Risco de incêndio alto,2014
1,92218,82996200,82.9962,Seca Leve,Risco de incêndio alto,2011
1,149435,134491500,134.4915,Seca Leve,Risco de incêndio alto,2012
1,190980,171882000,171.882,Seca Leve,Risco de incêndio alto,2017
