value,count,m2,km2,Seca,Fire,Queima,Year
10,733546,660191400,660.1913999999999,Sem Seca,Risco de incêndio acima da média,Sem Queimada,2010
10,748857,673971300,673.9712999999999,Sem Seca,Risco de incêndio acima da média,Sem Queimada,2005
10,769488,692539200,692.5391999999999,Sem Seca,Risco de incêndio acima da média,Sem Queimada,2001
10,913319,821987100,821.9870999999999,Sem Seca,Risco de incêndio acima da média,Sem Queimada,2002
10,969460,872514000,872.514,Sem Seca,Risco de incêndio acima da média,Sem Queimada,2003
10,989415,890473500,890.4735,Sem Seca,Risco de incêndio acima da média,Sem Queimada,2004
10,1039052,935146800,935.1468,Sem Seca,Risco de incêndio acima da média,Sem Queimada,2008
10,1047185,942466500,942.4665,Sem Seca,Risco de incêndio acima da média,Sem Queimada,2007
10,1124014,1011612600,1011.6125999999999,Sem Seca,Risco de incêndio acima da média,Sem Queimada,2012
10,1134995,1021495500,1021.4955,Sem Seca,Risco de incêndio acima da média,Sem Queimada,2015
10,1169783,1052804700,1052.8047,Sem Seca,Risco de incêndio acima da média,Sem Queimada,2006
10,1196888,1077199200,1077.1992,Sem Seca,Risco de incêndio acima da média,Sem Queimada,2014
10,1314607,1183146300,1183.1462999999999,Sem Seca,Risco de incêndio acima da média,Sem Queimada,2009
10,1328121,1195308900,1195.3089,Sem Seca,Risco de incêndio acima da média,Sem Queimada,2013
10,1340355,1206319500,1206.3194999999998,Sem Seca,Risco de incêndio acima da média,Sem Queimada,2020
10,1341512,1207360800,1207.3608,Sem Seca,Risco de incêndio acima da média,Sem Queimada,2011
10,1350589,1215530100,1215.5301,Sem Seca,Risco de incêndio acima da média,Sem Queimada,2016
10,1359336,1223402400,1223.4024,Sem Seca,Risco de incêndio acima da média,Sem Queimada,2017
10,1581785,1423606500,1423.6064999999999,Sem Seca,Risco de incêndio acima da média,Sem Queimada,2019
10,1612114,1450902600,1450.9026,Sem Seca,Risco de incêndio acima da média,Sem Queimada,2018
10,1660195,1494175500,1494.1754999999998,Sem Seca,Risco de incêndio acima da média,Sem Queimada,2021
11,986,887400,0.8874,Seca Leve,Risco de incêndio alto,Sem Queimada,2019
11,3211,2889900,2.8899,Seca Leve,Risco de incêndio alto,Sem Queimada,2013
11,5717,5145300,5.1453,Seca Leve,Risco de incêndio alto,Sem Queimada,2021
11,5766,5189400,5.1894,Seca Leve,Risco de incêndio alto,Sem Queimada,2020
11,10046,9041400,9.0414,Seca Leve,Risco de incêndio alto,Sem Queimada,2009
11,16495,14845500,14.8455,Seca Leve,Risco de incêndio alto,Sem Queimada,2014
11,17512,15760800,15.7608,Seca Leve,Risco de incêndio alto,Sem Queimada,2018
11,35350,31815000,31.814999999999998,Seca Leve,Risco de incêndio alto,Sem Queimada,2016
11,45677,41109300,41.1093,Seca Leve,Risco de incêndio alto,Sem Queimada,2011
11,60488,54439200,54.4392,Seca Leve,Risco de incêndio alto,Sem Queimada,2012
11,87542,78787800,78.78779999999999,Seca Leve,Risco de incêndio alto,Sem Queimada,2015
11,110914,99822600,99.8226,Seca Leve,Risco de incêndio alto,Sem Queimada,2017
11,111533,100379700,100.3797,Seca Leve,Risco de incêndio alto,Sem Queimada,2010
11,118665,106798500,106.79849999999999,Seca Leve,Risco de incêndio alto,Sem Queimada,2002
11,148939,134045100,134.0451,Seca Leve,Risco de incêndio alto,Sem Queimada,2006
11,199542,179587800,179.5878,Seca Leve,Risco de incêndio alto,Sem Queimada,2008
11,205368,184831200,184.8312,Seca Leve,Risco de incêndio alto,Sem Queimada,2003
11,240523,216470700,216.4707,Seca Leve,Risco de incêndio alto,Sem Queimada,2004
11,254521,229068900,229.06889999999999,Seca Leve,Risco de incêndio alto,Sem Queimada,2007
11,258975,233077500,233.0775,Seca Leve,Risco de incêndio alto,Sem Queimada,2001
11,339811,305829900,305.8299,Seca Leve,Risco de incêndio alto,Sem Queimada,2005
12,113,101700,0.1017,Seca Moderada,Risco de incêndio muito alto,Sem Queimada,2013
12,139,125100,0.1251,Seca Moderada,Risco de incêndio muito alto,Sem Queimada,2019
12,847,762300,0.7623,Seca Moderada,Risco de incêndio muito alto,Sem Queimada,2014
12,929,836100,0.8361,Seca Moderada,Risco de incêndio muito alto,Sem Queimada,2009
12,1055,949500,0.9495,Seca Moderada,Risco de incêndio muito alto,Sem Queimada,2020
12,1527,1374300,1.3742999999999999,Seca Moderada,Risco de incêndio muito alto,Sem Queimada,2021
12,1559,1403100,1.4031,Seca Moderada,Risco de incêndio muito alto,Sem Queimada,2011
12,2097,1887300,1.8873,Seca Moderada,Risco de incêndio muito alto,Sem Queimada,2018
12,2619,2357100,2.3571,Seca Moderada,Risco de incêndio muito alto,Sem Queimada,2012
12,4616,4154400,4.1544,Seca Moderada,Risco de incêndio muito alto,Sem Queimada,2016
12,12169,10952100,10.9521,Seca Moderada,Risco de incêndio muito alto,Sem Queimada,2010
12,13516,12164400,12.164399999999999,Seca Moderada,Risco de incêndio muito alto,Sem Queimada,2015
12,15932,14338800,14.338799999999999,Seca Moderada,Risco de incêndio muito alto,Sem Queimada,2017
12,16272,14644800,14.6448,Seca Moderada,Risco de incêndio muito alto,Sem Queimada,2002
12,17974,16176600,16.1766,Seca Moderada,Risco de incêndio muito alto,Sem Queimada,2006
12,21994,19794600,19.7946,Seca Moderada,Risco de incêndio muito alto,Sem Queimada,2008
12,29913,26921700,26.921699999999998,Seca Moderada,Risco de incêndio muito alto,Sem Queimada,2003
12,32810,29529000,29.529,Seca Moderada,Risco de incêndio muito alto,Sem Queimada,2007
12,38625,34762500,34.762499999999996,Seca Moderada,Risco de incêndio muito alto,Sem Queimada,2004
12,65968,59371200,59.371199999999995,Seca Moderada,Risco de incêndio muito alto,Sem Queimada,2001
12,69866,62879400,62.8794,Seca Moderada,Risco de incêndio muito alto,Sem Queimada,2005
13,0,0,0,Seca Severa,Risco de incêndio extremo,Sem Queimada,2011
13,0,0,0,Seca Severa,Risco de incêndio extremo,Sem Queimada,2013
13,0,0,0,Seca Severa,Risco de incêndio extremo,Sem Queimada,2019
13,13,11700,0.0117,Seca Severa,Risco de incêndio extremo,Sem Queimada,2012
13,22,19800,0.019799999999999998,Seca Severa,Risco de incêndio extremo,Sem Queimada,2014
13,30,27000,0.027,Seca Severa,Risco de incêndio extremo,Sem Queimada,2020
13,38,34200,0.0342,Seca Severa,Risco de incêndio extremo,Sem Queimada,2021
13,53,47700,0.0477,Seca Severa,Risco de incêndio extremo,Sem Queimada,2009
13,105,94500,0.0945,Seca Severa,Risco de incêndio extremo,Sem Queimada,2018
13,288,259200,0.2592,Seca Severa,Risco de incêndio extremo,Sem Queimada,2010
13,680,612000,0.612,Seca Severa,Risco de incêndio extremo,Sem Queimada,2002
13,687,618300,0.6183,Seca Severa,Risco de incêndio extremo,Sem Queimada,2008
13,806,725400,0.7253999999999999,Seca Severa,Risco de incêndio extremo,Sem Queimada,2016
13,1179,1061100,1.0611,Seca Severa,Risco de incêndio extremo,Sem Queimada,2003
13,1189,1070100,1.0701,Seca Severa,Risco de incêndio extremo,Sem Queimada,2017
13,1570,1413000,1.413,Seca Severa,Risco de incêndio extremo,Sem Queimada,2015
13,1614,1452600,1.4526,Seca Severa,Risco de incêndio extremo,Sem Queimada,2006
13,1921,1728900,1.7288999999999999,Seca Severa,Risco de incêndio extremo,Sem Queimada,2007
13,2603,2342700,2.3427,Seca Severa,Risco de incêndio extremo,Sem Queimada,2004
13,2786,2507400,2.5074,Seca Severa,Risco de incêndio extremo,Sem Queimada,2005
13,6483,5834700,5.8347,Seca Severa,Risco de incêndio extremo,Sem Queimada,2001
14,0,0,0,Seca Extrema,Risco de incêndio extremamente alto,Sem Queimada,2002
14,0,0,0,Seca Extrema,Risco de incêndio extremamente alto,Sem Queimada,2003
14,0,0,0,Seca Extrema,Risco de incêndio extremamente alto,Sem Queimada,2004
14,0,0,0,Seca Extrema,Risco de incêndio extremamente alto,Sem Queimada,2009
14,0,0,0,Seca Extrema,Risco de incêndio extremamente alto,Sem Queimada,2010
14,0,0,0,Seca Extrema,Risco de incêndio extremamente alto,Sem Queimada,2011
14,0,0,0,Seca Extrema,Risco de incêndio extremamente alto,Sem Queimada,2012
14,0,0,0,Seca Extrema,Risco de incêndio extremamente alto,Sem Queimada,2013
14,0,0,0,Seca Extrema,Risco de incêndio extremamente alto,Sem Queimada,2014
14,0,0,0,Seca Extrema,Risco de incêndio extremamente alto,Sem Queimada,2015
14,0,0,0,Seca Extrema,Risco de incêndio extremamente alto,Sem Queimada,2016
14,0,0,0,Seca Extrema,Risco de incêndio extremamente alto,Sem Queimada,2018
14,0,0,0,Seca Extrema,Risco de incêndio extremamente alto,Sem Queimada,2019
14,0,0,0,Seca Extrema,Risco de incêndio extremamente alto,Sem Queimada,2020
14,0,0,0,Seca Extrema,Risco de incêndio extremamente alto,Sem Queimada,2021
14,3,2700,0.0026999999999999997,Seca Extrema,Risco de incêndio extremamente alto,Sem Queimada,2017
14,6,5400,0.005399999999999999,Seca Extrema,Risco de incêndio extremamente alto,Sem Queimada,2001
14,7,6300,0.0063,Seca Extrema,Risco de incêndio extremamente alto,Sem Queimada,2005
14,17,15300,0.0153,Seca Extrema,Risco de incêndio extremamente alto,Sem Queimada,2008
14,18,16200,0.0162,Seca Extrema,Risco de incêndio extremamente alto,Sem Queimada,2007
