value,count,m2,km2,Fire,Year
0,857536,771782400,771.7823999999999,Sem fogo,2010
0,1048936,944042400,944.0423999999999,Sem fogo,2002
0,1073316,965984400,965.984,Sem fogo,2001
0,1161327,1045194300,1045.1942999999999,Sem fogo,2005
0,1187134,1068420600,1068.4206,Sem fogo,2012
0,1205920,1085328000,1085.328,Sem fogo,2003
0,1214252,1092826800,1092.8268,Sem fogo,2014
0,1237623,1113860700,1113.8607,Sem fogo,2015
0,1261292,1135162800,1135.1628,Sem fogo,2008
0,1271166,1144049400,1085.328,Sem fogo,2004
0,1325635,1193071500,1193.0715,Sem fogo,2009
0,1331445,1198300500,1198.3005,Sem fogo,2013
0,1336455,1202809500,1202.8094999999998,Sem fogo,2007
0,1338334,1204500600,1204.5005999999998,Sem fogo,2006
0,1347260,1212534000,1212.5339999999999,Sem fogo,2020
0,1388748,1249873200,1249.8732,Sem fogo,2011
0,1391361,1252224900,1252.2249,Sem fogo,2016
0,1487374,1338636600,1338.6366,Sem fogo,2017
0,1582964,1424667600,1424.6676,Sem fogo,2019
0,1631882,1468693800,1468.6938,Sem fogo,2018
0,1667531,1500777900,1500.7779,Sem fogo,2021
1,110807,99726300,99.7263,Fogo,2021
1,146456,131810400,131.8104,Fogo,2018
1,195374,175836600,175.8366,Fogo,2019
1,290964,261867600,261.8676,Fogo,2017
1,386977,348279300,348.2793,Fogo,2016
1,389590,350631000,350.631,Fogo,2011
1,431078,387970200,387.9702,Fogo,2020
1,440004,396003600,396.0036,Fogo,2006
1,441883,397694700,397.69469999999995,Fogo,2007
1,446893,402203700,402.20369999999997,Fogo,2013
1,452703,407432700,407.43269999999995,Fogo,2009
1,507172,456454800,515.1762,Fogo,2004
1,517046,465341400,465.34139999999996,Fogo,2008
1,540715,486643500,486.64349999999996,Fogo,2015
1,564086,507677400,507.6774,Fogo,2014
1,572418,515176200,515.1762,Fogo,2003
1,591204,532083600,532.0835999999999,Fogo,2012
1,617011,555309900,555.3099,Fogo,2005
1,705022,634519800,634.52,Fogo,2001
1,729402,656461800,656.4617999999999,Fogo,2002
1,920802,828721800,828.7217999999999,Fogo,2010
